pickup_hour,trip_count,avg_fare,avg_distance,avg_duration,company,month
0,14873,13.047754992267869,3.3825045384253345,12.391527152110086,yellow,1
1,10739,12.497117981190053,3.21609460843654,11.9201570599373,yellow,1
2,8015,12.299831565814097,3.175923892701185,11.522798918694116,yellow,1
3,5761,12.785367123763235,3.4018451657698314,11.555002025111381,yellow,1
4,4344,14.78879373848987,4.176758747697974,12.099508901166361,yellow,1
5,4812,15.186764339152122,4.436936824605154,11.888982405098366,yellow,1
6,11150,12.14542600896861,3.227561434977578,10.959173393124066,yellow,1
7,19329,11.509235345853382,2.71958559677169,12.244754858847672,yellow,1
8,23819,11.467536840337546,2.419203157143457,13.260817694557566,yellow,1
9,23804,11.819450512518905,2.4766505629306,13.682456029798914,yellow,1
10,23321,11.790554007118049,2.494922173148664,13.486407100896187,yellow,1
11,23942,11.689720992398295,2.438812964664606,13.348431626430541,yellow,1
12,25805,11.914480139507846,2.5223383065297424,13.498170897112962,yellow,1
13,25596,12.272987966869824,2.694467104235037,13.788306115538887,yellow,1
14,27173,12.661677032348287,2.8030103411474623,14.76499282375888,yellow,1
15,28049,12.543174444721737,2.7658597454454705,14.788090484509253,yellow,1
16,26273,12.660202489247517,2.83870475392989,14.77871262005354,yellow,1
17,29431,12.166995005266557,2.647277020828378,14.535666474125922,yellow,1
18,33080,11.561360640870616,2.4997007255139057,13.502028919790407,yellow,1
19,31000,11.498565161290323,2.5940474193548386,12.67002311827957,yellow,1
20,27429,11.929126471982208,2.886330161507893,12.351207359607228,yellow,1
21,27453,12.324308818708339,3.0585047171529527,12.472786216442648,yellow,1
22,25510,12.63746060368483,3.1696648373186984,12.5443754083366,yellow,1
23,19292,12.78678726933444,3.2791939664109475,12.349922247563757,yellow,1
0,14857,12.93080231540688,3.3351389917210743,12.329878171905499,yellow,2
1,10279,12.028992119856017,3.067556182508026,11.39978272854039,yellow,2
2,7513,11.723175828563823,2.9692120324770395,11.094662584852921,yellow,2
3,5435,12.4229990800368,3.2639080036798527,11.329061637534497,yellow,2
4,4124,14.456595538312317,4.054335596508245,11.72417555771096,yellow,2
5,4677,15.800844558477657,4.614902715415865,11.818861806000998,yellow,2
6,10943,12.20455999268939,3.250943982454537,10.844197203691857,yellow,2
7,18544,11.540161238136324,2.7170960957722174,12.048304033649698,yellow,2
8,23561,11.54537371079326,2.4332799966045586,13.251943182943565,yellow,2
9,23620,11.728937341236241,2.446096104995766,13.587531047135196,yellow,2
10,22858,11.740703473619739,2.507612652025549,13.296969696969699,yellow,2
11,23997,11.70886860857607,2.467710963870484,13.342733119417705,yellow,2
12,25835,11.778529127153087,2.525064447455003,13.339323269466487,yellow,2
13,26501,12.205758650616957,2.706563525904683,13.756247562985044,yellow,2
14,27721,12.593403556870243,2.7941351322102377,14.63159397809122,yellow,2
15,28029,12.536212494202433,2.7741906596739088,14.795310809043015,yellow,2
16,25855,12.627337072133049,2.8207600077354478,14.824322181396248,yellow,2
17,29466,12.14785210072626,2.618810154075884,14.537787054005747,yellow,2
18,32953,11.682667738900859,2.5054741601675112,13.79294045054067,yellow,2
19,31093,11.584088701637025,2.5854034670183,12.972534546896943,yellow,2
20,27559,12.10504953009906,2.8936953445335463,12.768199741161386,yellow,2
21,27445,12.495500091091273,3.0650927309163785,12.867410578733223,yellow,2
22,26313,12.581413749857484,3.1215874282673965,12.87795893031328,yellow,2
23,20822,12.943190375564306,3.3039664777639035,12.788041494573047,yellow,2
0,15719,12.965919587760036,3.3592989375914497,12.43066034735034,yellow,3
1,10621,12.226341210808775,3.1458356086997457,12.294650535103411,yellow,3
2,7187,12.034996521497149,3.0932767496869347,11.16645331849172,yellow,3
3,5721,12.661422828176892,3.362705820660724,11.384521936724349,yellow,3
4,4719,14.481883873702055,4.093602458147912,11.875898848626122,yellow,3
5,4823,15.213352685050799,4.437590711175617,11.640196281705714,yellow,3
6,11365,12.908421469423669,3.4772468103827543,11.582872855257369,yellow,3
7,18829,11.858197461362792,2.850914015614212,12.525200488607998,yellow,3
8,23665,11.918781745193323,2.5876961757870274,13.62850412000845,yellow,3
9,23667,12.018898043689527,2.5193366290615624,14.012427993971917,yellow,3
10,23245,12.328511938051195,2.6340714132071414,14.278858535885853,yellow,3
11,23987,12.183162129486806,2.5434856380539457,14.234233821097538,yellow,3
12,25251,12.425191081541325,2.6236105500772244,14.394414082610588,yellow,3
13,25233,12.660089565251852,2.7472678635120675,14.674615913023949,yellow,3
14,26502,13.180184514376274,2.922653007320202,15.783247805197092,yellow,3
15,26889,13.105787124846591,2.853871471605489,15.991737017615629,yellow,3
16,25377,13.394845726445206,2.965168065571187,16.279431506219545,yellow,3
17,28812,12.784367971678469,2.7900378314591143,15.700403188486279,yellow,3
18,32449,11.993676538568215,2.5935132053376067,14.138938539451653,yellow,3
19,30976,11.781650955578511,2.6463536286157026,13.28037243887741,yellow,3
20,28167,11.994554265629992,2.8438591259275037,12.873196175193192,yellow,3
21,28319,12.585260778982308,3.08819802959144,13.121553844886236,yellow,3
22,26653,12.84396803361723,3.1835725809477355,13.160002626346001,yellow,3
23,21824,13.066970307917888,3.3067283724340175,12.99046004398827,yellow,3
0,15320,13.17857767624021,3.3964464751958223,12.848525892080069,yellow,4
1,10437,12.49599597585513,3.227091118137396,11.902534253137874,yellow,4
2,7684,12.144390942217594,3.1385411244143673,11.426197293076521,yellow,4
3,5353,12.645819166822344,3.364201382402391,11.475340930319447,yellow,4
4,4145,14.935587454764777,4.2398021712907115,12.158134298351428,yellow,4
5,4733,15.500340164800338,4.552560743714346,11.615571519121065,yellow,4
6,11240,12.5423487544484,3.3427660142348756,11.20957147093713,yellow,4
7,18895,11.918658904472082,2.806057157978301,12.801776484078681,yellow,4
8,23413,12.101973262717294,2.564441122453338,14.16904995800054,yellow,4
9,23340,12.371401028277635,2.5562579263067695,14.676456726649528,yellow,4
10,23036,12.663249262024657,2.7021071366556693,14.743625918851654,yellow,4
11,24184,12.712820459808137,2.6857575256367845,14.92751268056015,yellow,4
12,25518,12.954679833842778,2.7573610784544242,15.215141599393892,yellow,4
13,25736,13.265328722412185,2.9077144855455392,15.470505647083204,yellow,4
14,26842,13.773973995976455,3.021967066537516,16.785254451978243,yellow,4
15,26568,13.704891598915989,2.9746815718157182,17.04173880859179,yellow,4
16,24530,13.95753648593559,3.10464288626172,17.114328713140374,yellow,4
17,28813,13.210903758720022,2.876269739353764,16.197220004858917,yellow,4
18,32693,12.42419631113694,2.7031159575444286,14.656533508702168,yellow,4
19,31600,12.002501898734177,2.716462974683544,13.37304746835443,yellow,4
20,29478,12.388908338421874,2.971929913834046,13.197301377298324,yellow,4
21,28780,12.875851633078527,3.1792977762334957,13.325937572388233,yellow,4
22,26673,13.003858958497357,3.2139538109698944,13.42445669153576,yellow,4
23,20989,13.636071275429988,3.486511982467006,13.65539409531977,yellow,4
0,15060,13.40119588313413,3.511925630810093,12.836488490482514,yellow,5
1,10210,12.869559255631735,3.3751988246816844,11.813540646425073,yellow,5
2,7214,12.298604103132798,3.2441585805378432,11.158619813325942,yellow,5
3,5071,13.010315519621376,3.534902386117137,11.44042923815158,yellow,5
4,4224,14.849786931818182,4.228229166666667,12.020261205808081,yellow,5
5,4929,15.432749036315684,4.490395617772368,11.638192331101644,yellow,5
6,11628,12.679437564499484,3.4084700722394223,11.345765967205597,yellow,5
7,19933,12.349884613455075,2.9393051723272965,13.421882472951054,yellow,5
8,23160,12.694528497409328,2.741906303972366,14.904958261370178,yellow,5
9,23583,12.999128609591656,2.7537467667387525,15.373685140426012,yellow,5
10,23912,13.074293660086987,2.7775234192037472,15.46308269209323,yellow,5
11,24696,13.366058066083575,2.8011860220278586,16.00544420149012,yellow,5
12,25948,13.55294550639741,2.8341533066132265,16.271995272596474,yellow,5
13,26093,13.880231096462653,2.9666377955773577,16.698325221323728,yellow,5
14,27046,14.26565111291873,3.092393329882422,17.859397569572828,yellow,5
15,26323,14.18902670668237,2.996161531740303,18.13213286226241,yellow,5
16,24357,14.569756538161514,3.158944861846697,18.475454010482956,yellow,5
17,28161,13.967036326834986,2.9760843009836297,17.71165559935135,yellow,5
18,31625,12.855710988142292,2.721105138339921,15.596960737812912,yellow,5
19,30710,12.239036795831977,2.7349501790947577,13.81991262346684,yellow,5
20,28071,12.471002101813259,3.026256991200883,13.130234049374799,yellow,5
21,28851,13.046644137118296,3.228907143599875,13.659959215740644,yellow,5
22,26811,13.123841333780911,3.26297974711872,13.56768677035545,yellow,5
23,22384,13.757525464617585,3.546410829163688,13.627854717655469,yellow,5
0,16920,13.464543144208038,3.4673055555555554,13.154995074862097,yellow,6
1,11293,12.766804215000441,3.3406508456566018,11.975647156055373,yellow,6
2,8053,12.179006581398236,3.195309822426425,11.252220704499358,yellow,6
3,5709,13.049576107899806,3.526002802592398,11.566190809832428,yellow,6
4,4432,14.874099729241877,4.241574909747293,12.336770457280386,yellow,6
5,5134,15.48422282820413,4.53373782625633,11.622068562524348,yellow,6
6,11561,12.675071360608944,3.4168817576334227,11.24839546752011,yellow,6
7,18309,12.347493582391174,2.9970227756840897,13.069103537422398,yellow,6
8,22678,12.587562836228944,2.7464031219684277,14.633991827615604,yellow,6
9,23240,12.81802925989673,2.727067555938038,15.036901176133103,yellow,6
10,23175,13.048255879180152,2.813424811218986,15.200359582883854,yellow,6
11,24235,13.138767485042296,2.773648854961832,15.557355752699264,yellow,6
12,25657,13.341585921970612,2.8036294188720428,15.965134920944251,yellow,6
13,25927,13.848055309137195,3.021171751456011,16.505903755415847,yellow,6
14,26712,14.162190026954177,3.109497229709494,17.451000174703005,yellow,6
15,25621,14.203468248702237,3.0790464853050232,17.89489546335688,yellow,6
16,24546,14.226805589505418,3.0843493848284855,17.834617996143294,yellow,6
17,27582,13.623227829744035,2.91519396707998,17.03389045996181,yellow,6
18,31428,12.667038946162657,2.7290355733740617,15.16576301387298,yellow,6
19,30430,12.120046335852777,2.735463687150838,13.513794501040639,yellow,6
20,27557,12.37017091845992,3.0121228725913562,13.033763955921666,yellow,6
21,28673,12.787315593066648,3.1347438356642137,13.534493542124414,yellow,6
22,27619,13.169669068394946,3.2474655128715737,13.820722449521464,yellow,6
23,23509,13.522907397167044,3.4040682291888213,13.917460688814213,yellow,6
0,16457,13.657732271981526,3.595852828583581,12.891772498025157,yellow,7
1,11210,13.085058876003568,3.472538804638716,11.871381207255425,yellow,7
2,8021,12.468435357187383,3.273808752025932,11.308041391347713,yellow,7
3,5731,12.366258942592916,3.280101203978363,11.097946838829756,yellow,7
4,4407,14.990937145450419,4.281279782164738,12.230179260267755,yellow,7
5,5014,15.722782209812525,4.6433187076186675,11.812232415902141,yellow,7
6,11684,12.801983909619993,3.4677884286203353,11.151486363117654,yellow,7
7,17600,12.203661931818182,3.0055982954545453,12.429517992424243,yellow,7
8,22158,12.585026175647622,2.747577849986461,14.406381442368444,yellow,7
9,22918,12.674953311807315,2.681872763766472,14.773594990836896,yellow,7
10,22992,12.74339770354906,2.7806824112734865,14.595429569705404,yellow,7
11,24009,12.829906701653545,2.7780936315548335,14.74681438904855,yellow,7
12,25931,13.036991631637807,2.8224453356985846,14.977482549843815,yellow,7
13,26491,13.186707938545167,2.9088845268204295,15.11065456192669,yellow,7
14,27425,13.72716390154968,3.088403281677302,16.193642661804923,yellow,7
15,26813,13.518045351135642,2.9765281766307385,16.24327067715909,yellow,7
16,25306,13.645186517031535,3.0015909270528724,16.22799072683685,yellow,7
17,28659,13.427902578596601,2.9304434907010015,16.09087430359282,yellow,7
18,31852,12.699174306166016,2.788373728494286,14.82096571643853,yellow,7
19,30460,12.080025935653318,2.7313299409061065,13.45798260013132,yellow,7
20,27722,12.619392900945098,3.051424500396797,13.406529711661015,yellow,7
21,28114,12.671587821014441,3.106183751867397,13.462564321453131,yellow,7
22,26687,13.132181586540264,3.278477535878892,13.571527335406751,yellow,7
23,22339,13.530687586731727,3.471479923004611,13.449092767506752,yellow,7
